iucn_code,iucn_country,CountryOccurrenceLookup,CountryOccurrenceName
ABT-OO,Alberta,AB,Alberta
BRC-OO,British Columbia,BC,British Columbia
GL,Greenland,GL,Greenland
LAB-OO,Labrador,NL_L,Labrador
MAN-OO,Manitoba,MB,Manitoba
NFL-NE,Newfoundland I,NL_N,Newfoundland I
NSC-OO,Nova Scotia,NS,Nova Scotia
NBR-OO,New Brunswick,NB,New Brunswick
PM,Saint Pierre and Miquelon,PM,Saint Pierre and Miquelon
NWT-OO,Northwest Territories,NT,Northwest Territories
QUE-OO,Québec,QC,Québec
ONT-OO,Ontario,ON,Ontario
SAS-OO,Saskatchewan,SK,Saskatchewan
PEI-OO,Prince Edward I.,PE,Prince Edward I.
NUN-OO,Nunavut,NU,Nunavut
YUK-OO,Yukon,YT,Yukon
