iucn_id,Species,author
NA,Acalypha poiretii,Spreng.
NA,Acalypha virginica,L.
137496996,Achyranthes aspera,L.
NA,Acmella repens,(Walter) Rich.
NA,Actaea pachypoda,Elliott
88314469,Actaea racemosa,L.
NA,Adiantum aleuticum,(Rupr.) C.A.Paris
NA,Adlumia fungosa,"(Aiton) Britton, Sterns & Poggenb."
NA,Aeschynomene rudis,Benth.
NA,Agalinis tenuifolia,(Vahl) Raf.
NA,Agastache nepetoides,(L.) Kuntze
NA,Agastache scrophulariifolia,(Willd.) Kuntze
115698989,Agave virginica,L.
NA,Ageratina altissima,(L.) R.M.King & H.Rob.
NA,Ageratina aromatica,(L.) Spach
NA,Agrimonia gryposepala,Wallr.
NA,Agrimonia parviflora,Aiton
NA,Allium canadense,L.
124269348,Allium cernuum,Roth
NA,Allium stellatum,Nutt. ex Ker Gawl.
19107277,Amaranthus spinosus,L.
13507465,Ambrosia artemisiifolia,L.
19018621,Ambrosia confertiflora,DC.
126026866,Ambrosia psilostachya,DC.
126027230,Ambrosia trifida,L.
135957978,Amelanchier canadensis,(L.) Medik.
NA,Amelanchier spicata,(Lam.) K.Koch
175552372,Amianthium muscitoxicum,(Walter) A.Gray
49481003,Amorpha fruticosa,L.
NA,Ampelaster carolinianus,(Walter) G.L.Nesom
NA,Amphicarpaea bracteata,(L.) Fernald
NA,Andersonglossum virginianum,(L.) J.I.Cohen
NA,Andropogon floridanus,Scribn.
NA,Andropogon gerardi,Vitman
85519939,Andropogon glomeratus,"(Walter) Britton, Sterns & Poggenb."
NA,Anemone canadensis,(L.) Mosyakin
NA,Anemone quinquefolia,L.
NA,Anemone virginiana,L.
NA,Angelica triquinata,Michx.
NA,Angelica venenosa,(Greenway) Fernald
131040242,Anoda cristata,(L.) Schltdl.
NA,Antennaria howellii,Greene
NA,Antennaria howellii subsp.,Greene
NA,Antennaria plantaginifolia,(L.) Hook.
175557510,Anticlea elegans,(Pursh) Rydb.
NA,Apios americana,Medik.
NA,Aquilegia canadensis,L.
NA,Aralia hispida,Vent.
NA,Arenaria lanuginosa var. lanuginosa,(Michx.) Rohrb.
NA,Argemone albiflora,Hornem.
