Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority,,,
202927,,,ASTERACEAE,Antennaria,,,,,Antennaria dioica,,,,dioica,(L.) Gaertn.,,,
202931,,,ASTERACEAE,Arctium,,,,,Arctium lappa,,,,lappa,L.,,,
202932,,,ASTERACEAE,Artemisia,,,,,Artemisia absinthium,,,,absinthium,L.,,,
202933,,,ASTERACEAE,Artemisia,,,,,Artemisia alba,,,,alba,Turra,,,
162160,,,ASTERACEAE,Artemisia,,,,,Artemisia campestris,,,,campestris,L.,,,
202934,,,ASTERACEAE,Artemisia,,,,,Artemisia santonicum,,,,santonicum,L.,,,
202936,,,ASTERACEAE,Artemisia,,,,,Artemisia vulgaris,,,,vulgaris,L.,,,
202938,,,ASTERACEAE,Aster,,,,,Aster amellus,,,,amellus,L.,,,
202983,,,ASTERACEAE,Chiliadenus,,,,,Chiliadenus glutinosus,,,,glutinosus,(L.) Fourr.,,,
168690,,,ASTERACEAE,Cichorium,,,,,Cichorium intybus,,,,intybus,L.,,,
202978,,,ASTERACEAE,Cnicus,,,,,Cnicus benedictus,,,,benedictus,L.,,,
51179533,,,ASTERACEAE,Cyanus,,,,,Cyanus segetum,,,,segetum,Hill,,,
202979,,,ASTERACEAE,Cynara,,,,,Cynara cardunculus,,,,cardunculus,L.,,,
201543,,,ASTERACEAE,Helichrysum,,,,,Helichrysum arenarium,,,,arenarium,(L.) Moench,,,
202980,,,ASTERACEAE,Helichrysum,,,,,Helichrysum italicum,,,,italicum,(Roth) G.Don,,,
202981,,,ASTERACEAE,Helichrysum,,,,,Helichrysum stoechas,,,,stoechas,(L.) Moench,,,
202982,,,ASTERACEAE,Inula,,,,,Inula helenium,,,,helenium,L.,,,
164487,,,ASTERACEAE,Lactuca,,,,,Lactuca virosa,,,,virosa,L.,,,
202985,,,ASTERACEAE,Matricaria,,,,,Matricaria chamomilla,,,,chamomilla,L.,,,
202986,,,ASTERACEAE,Petasites,,,,,Petasites albus,,,,albus,(L.) Gaertn.,,,
202987,,,ASTERACEAE,Petasites,,,,,Petasites hybridus,,,,hybridus,"(L.) G.Gaertn., B.Mey. &amp; Scherb.",,,
202991,,,ASTERACEAE,Silybum,,,,,Silybum marianum,,,,marianum,(L.) Gaertn.,,,
200513,,,ASTERACEAE,Solidago,,,,,Solidago virgaurea,,,,virgaurea,L.,,,
202993,,,ASTERACEAE,Tanacetum,,,,,Tanacetum parthenium,,,,parthenium,(L.) Sch.Bip.,,,
