volume_result,in_text,full_citation
Volume 2,(Flora of North America Editorial Committee 1993),"Flora of North America Editorial Committee 1993. Flora of North America North of Mexico: Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York."
Volume 3,(Flora of North America Editorial Committee 1997),"Flora of North America Editorial Committee (FNA) 1997. Flora of North America North of Mexico: Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York."
Volume 4,(Flora of North America Editorial Committee 2003),"Flora of North America Editorial Committee 2003. Flora of North America North of Mexico: Volume 4: Magnoliophyta: Caryophyllidae, part 1. Oxford University Press, New York."
Volume 5,(Flora of North America Editorial Committee 2005),"Flora of North America Editorial Committee 2005. Flora of North America North of Mexico: Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York."
Volume 6,(Flora of North America Editorial Committee 2002),"Flora of North America Editorial Committee 2002. Flora of North America North of Mexico: Volume 6: Magnoliophyta Cucurbitaceae to Droseraceae. Oxford University Press, New York."
Volume 7,(Flora of North America Editorial Committee 2010),"Flora of North America Editorial Committee 2010. Flora of North America North of Mexico: Volume 7: Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press, New York."
Volume 8,(Flora of North America Editorial Committee 2006),"Flora of North America Editorial Committee 2006. Flora of North America North of Mexico: Volume 8: Magnoliophyta: Paeoniaceae to Ericaceae. Oxford University Press, New York."
Volume 9,(Flora of North America Editorial Committee 2015),"Flora of North America Editorial Committee 2015. Flora of North America North of Mexico: Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York."
Volume 10,,
Volume 11,,
Volume 12,(Flora of North America Editorial Committee 2016),"Flora of North America Editorial Committee 2016. Flora of North America North of Mexico: Volume 12: Magnoliophyta: Vitaceae to Garryaceae. First Edition. Oxford University Press, Oxford, New York."
Volume 13,,
Volume 14,,
Volume 15,,
Volume 16,,
Volume 17,(Flora of North America Editorial Committee 2019),"Flora of North America Editorial Committee 2019. Flora of North America North of Mexico: Volume 17: Magnoliophyta: Tetrachondraceae to Orbobanchaceae. 1 edition. Oxford University Press, Oxford, UK."
Volume 18,,
Volume 19,(Flora of North America Editorial Committee 2006),"Flora of North America Editorial Committee 2006. Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae. First Edition. Oxford University Press, Oxford, New York."
Volume 20,(Flora of North America Editorial Committee 2006),"Flora of North America Editorial Committee 2006. Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae. First Edition. Oxford University Press, Oxford, New York."
Volume 21,(Flora of North America Editorial Committee 2006),"Flora of North America Editorial Committee 2006. Flora of North America North of Mexico: Volumes 19, 20 and 21: Asteraceae. First Edition. Oxford University Press, Oxford, New York."
Volume 22,(Flora of North America Editorial Committee 2000),"Flora of North America Editorial Committee 2000. Flora of North America North of Mexico: Volume 22: Magnoliophyta: Alismatidae, Arecidae, Commelinidae (in part), and Zingiberidae. Oxford University Press, New York."
Volume 23,(Flora of North America Editorial Committee 2003),"Flora of North America Editorial Committee 2003. Flora of North America North of Mexico: Volume 23: Magnoliophyta: Commelinidae (in part): Cyperaceae. Oxford University Press, New York."
Volume 24,(Flora of North America Editorial Committee 1993),"Flora of North America Editorial Committee (ed) 1993. Flora of North America: North of Mexico: Volume 24: Magnoliophyta: Commelinidae (in part): Poaceae, part 1. Oxford University Press, New York."
Volume 25,(Flora of North America Editorial Committee 2003),"Flora of North America Editorial Committee (ed) 2003. Flora of North America: North of Mexico: Volume 25: Magnoliophyta: Commelinidae (in part): Poaceae, part 2. Oxford University Press, New York."
Volume 26,(Flora of North America Editorial Committee 2002),"Flora of North America Editorial Committee 2002. Flora of North America North of Mexico: Volume 26: Magnoliophyta: Liliidae: Liliales and Orchidales. Oxford University Press, New York."
Volume 27,(Flora of North America Editorial Committee 2007),"Flora of North America Editorial Committee 2007. Flora of North America North of Mexico: Volume 27: Bryophytes: Mosses, part 1. Oxford University Press, New York."
Volume 28,(Flora of North America Editorial Committee 2015),"Flora of North America Editorial Committee 2015. Flora of North America North of Mexico: Volume 28: Bryophytes: Mosses, part 2. Oxford University Press, New York."
