iucn_subnat,iucn_nat
BOR-SB,MY
ABT-OO,CA
AGE-BA,AR
AGE-CH,AR
AGE-CN,AR
AGE-CO,AR
AGE-DF,AR
AGE-ER,AR
AGE-FO,AR
AGE-LP,AR
AGE-MI,AR
AGE-SF,AR
AGS-CB,AR
AGS-NE,AR
AGS-RN,AR
AGS-SC,AR
AGS-TF,AR
AGW-CA,AR
AGW-JU,AR
AGW-LR,AR
AGW-ME,AR
AGW-SA,AR
AGW-SE,AR
AGW-SJ,AR
AGW-SL,AR
AGW-TU,AR
ALA-OO,US
ALD-OO,SC
ALT-OO,RU
ALU-OO,US
AMU-OO,RU
AND-AN,IN
AND-AN,IN
AND-CO,MM
ANG-OO,AO
ARI-OO,US
ARK-OO,US
ASC-OO,SH
ASK-OO,US
ASP-OO,TF
ASS-AS,IN
ASS-AS,IN
ASS-MA,IN
ASS-ME,IN
ASS-MI,IN
ASS-NA,IN
ASS-TR,IN
ATP-OO,NZ
AZO-OO,PT
BAL-OO,ES
BIS-OO,PG
BLT-KA,RU
BOR-KA,ID
BOR-SR,MY
BOR-SR,MY
BRC-OO,CA
BRY-OO,RU
BZC-DF,BR
BZC-GO,BR
BZC-MS,BR
BZC-MT,BR
BZE-AL,BR
BZE-BA,BR
BZE-CE,BR
BZE-FN,BR
BZE-MA,BR
BZE-PB,BR
BZE-PE,BR
BZE-PI,BR
BZE-RN,BR
BZE-SE,BR
BZL-ES,BR
BZL-MG,BR
BZL-RJ,BR
BZL-SP,BR
BZL-TR,BR
BZN-AC,BR
BZN-AP,BR
BZN-AZ,BR
BZN-PA,BR
BZN-RM,BR
BZN-RO,BR
BZN-TO,BR
BZS-PR,BR
BZS-RS,BR
BZS-SC,BR
CAB-OO,AO
CAL-OO,US
CGS-OO,IO
CHC-CQ,CN
CHC-GZ,CN
CHC-HU,CN
CHC-SC,CN
CHC-YN,CN
CHH-OO,CN
CHI-NM,CN
CHI-NX,CN
CHM-HJ,CN
CHM-JL,CN
CHM-LN,CN
CHN-BJ,CN
CHN-GS,CN
CHN-HB,CN
CHN-SA,CN
CHN-SD,CN
CHN-SX,CN
CHN-TJ,CN
CHQ-OO,CN
CHS-AH,CN
CHS-FJ,CN
CHS-GD,CN
CHS-GX,CN
CHS-HE,CN
CHS-HN,CN
CHS-JS,CN
CHS-JX,CN
CHS-KI,TW
CHS-MP,TW
CHS-SH,CN
CHS-ZJ,CN
CHT-OO,CN
CHX-OO,CN
CLC-BI,CL
CLC-CO,CL
CLC-LA,CL
CLC-MA,CL
CLC-OH,CL
CLC-SA,CL
CLC-VA,CL
CLM-OO,CO
CLN-AN,CL
CLN-AT,CL
CLN-TA,CL
CLS-AI,CL
CLS-LL,CL
CLS-MG,CL
CNT-OO,US
CNY-OO,ES
COL-OO,US
COR-OO,FR
COS-OO,CR
CPI-CL,FR
CPI-CO,CR
CPI-MA,CO
CPP-EC,ZA
CPP-NC,ZA
CPP-WC,ZA
CPV-OO,NA
CRZ-OO,TF
CTA-OO,RU
CTM-OO,NZ
DEL-OO,US
DSV-OO,CL
EAI-OO,GR
EAS-OO,CL
ECU-OO,EC
EGY-OO,EG
EHM-AP,IN
EHM-DJ,IN
EHM-SI,IN
EQG-OO,GQ
FLA-OO,US
GAL-OO,EC
GEO-OO,US
GGI-AN,GQ
GGI-BI,GQ
GGI-PR,ST
GGI-ST,ST
GIL-OO,KI
GRB-OO,GB
GRC-OO,GR
HAI-NI,US
HAW-HI,US
HAW-HI,US
HAW-JI,UM
HAW-MI,UM
HBI-OO,UM
HON-OO,HN
IDA-OO,US
ILL-OO,US
IND-AP,IN
IND-BI,IN
IND-CH,IN
IND-CT,IN
IND-DD,IN
IND-DE,IN
IND-DI,IN
IND-DM,IN
IND-GO,IN
IND-GU,IN
IND-HA,IN
IND-JK,IN
IND-KE,IN
IND-KL,IN
IND-KT,IN
IND-MH,IN
IND-MP,IN
IND-MR,IN
IND-OR,IN
IND-PO,IN
IND-PU,IN
IND-RA,IN
IND-TN,IN
IND-UP,IN
IND-WB,IN
IND-YA,IN
INI-OO,US
IOW-OO,US
IRE-NI,GB
IRK-OO,RU
ITA-IT,IT
JAP-HK,JP
JAP-HN,JP
JAP-KY,JP
JAP-SH,JP
JAW-OO,ID
JNF-OO,CL
KAM-OO,RU
KAN-OO,US
KEG-OO,TF
KER-OO,NZ
KHA-OO,RU
KRA-OO,RU
KRI-OO,GR
KRY-OO,UA
KTY-OO,US
KUR-OO,RU
KZN-OO,JP
LAB-OO,CA
LDV-OO,IN
LEE-AV,VE
LEE-AV,VE
LIN-KI,KI
LIN-US,UM
LOU-OO,US
LSI-BA,ID
LSI-LS,ID
LSI-LS,ID
MAG-OO,RU
